character_id	name	tier	volume	book_anchor	role	house_pressure	region	source_anchor	candidate_draws	selection_score	story_background_law	visual_status
WC00001	Aerfiracoriadria1	recurring-background	V1	B01	orchard guard	Mack-ground	diamond breakland	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00002	Ashagalenindraiel2	deep-background	V1	B02	sonomancy listener	Dervish-glass	black-heart ridge	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00003	Aermaelorcoriadion3	support	V1	B03	tunnel witness	Vayne	ash river	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00004	Aerdalencoriaion4	background	V1	B04	threshold mason	Null-Heart	morrow market	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00005	Aerdalenhollowiel5	story	V1	B05	bookbinder	Iron-Song	root vale	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00006	Brenhalorashion6	recurring-background	V1	B06	bridge keeper	Wren-Ash	ripper tunnel	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00007	Aerdalenaen7	deep-background	V1	B07	market singer	Thorn-Vayne	cello field	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00008	Aerdalenael8	support	V1	B08	glass forge worker	Marso-len	blue-light road	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00009	Aermaelorcinderel9	background	V1	B09	ripper survivor	Rolzen-line	xeth glyph yard	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00010	Ashagalenelle10	story	V1	B10	map seller	Kyreal-pack	stone fen	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00011	Ashaeliondalenen11	recurring-background	V1	B11	cellar cook	Xethrolund-glyph	pocket sanctuary	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00012	Aeranorcoriaaria12	deep-background	V1	B12	triage helper	Pip-no-path	glass orchard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00013	Aerdalendria13	support	V1	B13	faction runner	Mack-ground	neith edge	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00014	Aerdalenen14	background	V1	B14	wolf-road scout	Dervish-glass	willow-stone county	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00015	Aerdalencoriaaelael15	story	V1	B15	glyph apprentice	Vayne	last open gate	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00016	Aerdalenion16	recurring-background	V1	B16	corridor child	Null-Heart	diamond breakland	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00017	Aerdalenmireaen17	deep-background	V1	B17	field healer	Iron-Song	black-heart ridge	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00018	Aerfiraianavel18	support	V1	B18	cavern farmer	Wren-Ash	ash river	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00019	Aerdalenavel19	background	V1	B19	garden watcher	Thorn-Vayne	morrow market	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00020	Aerdaleniel20	story	V1	B20	stone archivist	Marso-len	root vale	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00021	Aeranoramarriverion21	recurring-background	V1	B21	orchard guard	Rolzen-line	ripper tunnel	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00022	Ashaelionen22	deep-background	V1	B22	sonomancy listener	Kyreal-pack	cello field	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00023	Aerdalenelle23	support	V1	B23	tunnel witness	Xethrolund-glyph	blue-light road	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00024	Ashagalendria24	background	V1	B24	threshold mason	Pip-no-path	xeth glyph yard	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00025	Aerdalenevarael25	story	V1	B25	bookbinder	Mack-ground	stone fen	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00026	Aermaelorarel26	recurring-background	V1	B26	bridge keeper	Dervish-glass	pocket sanctuary	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00027	Aeranorarel27	deep-background	V1	B27	market singer	Vayne	glass orchard	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00028	Aerindradion28	support	V1	B28	glass forge worker	Null-Heart	neith edge	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00029	Aerfiracoriaivyiel29	background	V1	B29	ripper survivor	Iron-Song	willow-stone county	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00030	Aeranoriel30	story	V1	B30	map seller	Wren-Ash	last open gate	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00031	Aeranorcoriaion31	recurring-background	V1	B31	cellar cook	Thorn-Vayne	diamond breakland	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00032	Aeranorluthashdria32	deep-background	V1	B32	triage helper	Marso-len	black-heart ridge	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00033	Aerindracoriaavel33	support	V1	B33	faction runner	Rolzen-line	ash river	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00034	Brenendardria34	background	V1	B01	wolf-road scout	Kyreal-pack	morrow market	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00035	Aermaelorevaraiel35	story	V1	B02	glyph apprentice	Xethrolund-glyph	root vale	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00036	Aerfiracoriabrinael36	recurring-background	V1	B03	corridor child	Pip-no-path	ripper tunnel	Soth source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00037	Ashaelionquartziel37	deep-background	V1	B04	field healer	Mack-ground	cello field	Vellin source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00038	Aerdalenamardion38	support	V1	B05	cavern farmer	Dervish-glass	blue-light road	Corrath source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00039	Aermaeloramaraeliel39	background	V1	B06	garden watcher	Vayne	xeth glyph yard	Dervish source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00040	Aerindraion40	story	V1	B07	stone archivist	Null-Heart	stone fen	Pip source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00041	Aerdalenamarbriniel41	recurring-background	V1	B08	orchard guard	Iron-Song	pocket sanctuary	Rolzen source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00042	Ashaavelindraael42	deep-background	V1	B09	sonomancy listener	Wren-Ash	glass orchard	Xethrolund source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00043	Aerdalenianen43	support	V1	B10	tunnel witness	Thorn-Vayne	neith edge	Rylos source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00044	Aerdalenamariel44	background	V1	B11	threshold mason	Marso-len	willow-stone county	Kyreal source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00045	Ashajoraarel45	story	V1	B12	bookbinder	Rolzen-line	last open gate	Thessa source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00046	Aerdalenianendaraen46	recurring-background	V1	B13	bridge keeper	Kyreal-pack	diamond breakland	Kael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
WC00047	Aeranoramarelle47	deep-background	V1	B14	market singer	Xethrolund-glyph	black-heart ridge	Pael source orbit	90	77	averaged_background_story_orbit_aesthetic_origin_distance	pending_art_reference
